date,description,amount
2026-01-03,Checkers Grocery,-540.20
2026-01-04,Uber Trip,-85.00
2026-01-05,Salary Deposit,15000.00
2026-01-07,Netflix Subscription,-199.00
2026-01-09,Woolworths,-320.75
2026-01-10,Gym Membership,-450.00
2026-01-12,Takealot Order,-899.99
2026-01-15,Rent Payment,-6500.00
2026-01-18,Uber Eats,-210.50
2026-01-20,Electricity Bill,-780.00
2026-01-22,Bolt Trip,-64.00
2026-01-25,Spotify Subscription,-79.00
2026-02-03,Pick n Pay Grocery,-610.40
2026-02-04,Uber Trip,-92.50
2026-02-05,Salary Deposit,15000.00
2026-02-06,Mr D Food,-185.00
2026-02-09,Woolworths,-410.20
2026-02-10,Gym Membership,-450.00
2026-02-12,Amazon Order,-1250.00
2026-02-15,Rent Payment,-6500.00
2026-02-16,Water Bill,-210.00
2026-02-19,Petrol Station,-650.00
2026-02-22,Showmax Subscription,-149.00
2026-02-27,Restaurant Dinner,-420.00
2026-03-01,Refund - Takealot Return,350.00
2026-03-03,Spar Grocery,-495.60
2026-03-04,Bolt Trip,-78.00
2026-03-05,Salary Deposit,15000.00
2026-03-08,Superbalist Order,-680.00
2026-03-10,Gym Membership,-450.00
2026-03-12,Netflix Subscription,-199.00
2026-03-15,Rent Payment,-6500.00
2026-03-17,Levy Payment,-1200.00
2026-03-20,Takeaway Dinner,-165.00
2026-03-24,Electricity Bill,-810.00
2026-03-28,Taxi Ride,-55.00
